Orthogroup	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
OG0027349	AT5G44680.1								
OG0027350						SORBI_3002G101550			
OG0027351					Os08g0409233				
OG0027352							TraesCS6B03G1107300.1		
OG0027353					Os09g0429350				
OG0027354			Bradi1g24793.1.p						
OG0027355							TraesCS5D03G0301800.1		
OG0027356					Os08g0422401				
OG0027357	AT4G38140.1								
OG0027358					Os06g0569601				
OG0027359						SORBI_3008G089750			
OG0027360							TraesCS1D03G0529000.1		
OG0027361		AVESA.00018a.r1.2CG01477900.1							
OG0027362		AVESA.00018a.r1.5DG04506520.1							
OG0027363									Zm00001eb162490_P001
OG0027364		AVESA.00018a.r1.5CG04094440.1							
OG0027365									Zm00001eb252820_P001
OG0027366								TRITD3Bv1G251930.1	
OG0027367		AVESA.00018a.r1.1DG00878230.1							
OG0027368		AVESA.00018a.r1.2CG01367790.1							
OG0027369						SORBI_3002G287900			
OG0027370						SORBI_3005G110487			
OG0027371			Bradi2g19402.1.p						
OG0027372					Os02g0632200				
OG0027373		AVESA.00018a.r1.6CG04888440.1							
OG0027374					Os02g0250400				
OG0027375							TraesCS1B03G0085600.1		
OG0027376			Bradi3g50047.1.p						
OG0027377			Bradi1g53625.1.p						
OG0027378								TRITD4Av1G173360.3	
OG0027379						SORBI_3005G019750			
OG0027380					Os10g0538100				
OG0027381							TraesCS7B03G0737300.1		
OG0027382			Bradi3g43655.1.p						
OG0027383					Os11g0235700				
OG0027384		AVESA.00018a.r1.2CG01464060.1							
OG0027385								TRITD7Bv1G162740.2	
OG0027386									Zm00001eb362890_P001
OG0027387									Zm00001eb257100_P001
OG0027388								TRITD6Bv1G032840.1	
OG0027389	AT1G61600.1								
OG0027390			Bradi41430s00100.1.p						
OG0027391					Os03g0699950				
OG0027392							TraesCS5A03G0616100.1		
OG0027393								TRITD2Bv1G202260.1	
OG0027394			Bradi1g62574.1.p						
OG0027395					Os01g0853600				
OG0027396						SORBI_3003G294550			
OG0027397							TraesCS2B03G0697300.1		
OG0027398			Bradi5g18204.1.p						
OG0027399					Os03g0766700				
OG0027400								TRITD2Av1G130590.1	
OG0027401	AT5G06000.1								
OG0027402						SORBI_3010G148600			
OG0027403							TraesCS3D03G1181500.1		
OG0027404							TraesCS2D03G0889700.1		
OG0027405							TraesCS6D03G0795100.1		
OG0027406			Bradi3g10932.1.p						
OG0027407							TraesCS3B03G0188500.1		
OG0027408							TraesCS6D03G0588900.1		
OG0027409					Os10g0142801				
OG0027410							TraesCS3B03G0620000.1		
OG0027411							TraesCS1D03G0888600.1		
OG0027412		AVESA.00018a.r1.7DG06026850.1							
OG0027413							TraesCS5D03G0931500.3		
OG0027414						SORBI_3003G293450			
OG0027415							TraesCS6B03G0194200.1		
OG0027416						SORBI_3004G135333			
OG0027417						SORBI_3003G029350			
OG0027418							TraesCS5D03G0038100.1		
OG0027419									Zm00001eb216250_P001
OG0027420							TraesCS3A03G0224300.2		
OG0027421		AVESA.00018a.r1.3CG02069870.1							
OG0027422					Os08g0179801				
OG0027423	AT4G40010.1								
OG0027424	AT1G37113.1								
OG0027425			Bradi3g27395.1.p						
OG0027426							TraesCS7D03G0473000.2		
OG0027427					Os04g0209600				
OG0027428		AVESA.00018a.r1.3CG02154250.1							
OG0027429						SORBI_3010G135200			
OG0027430		AVESA.00018a.r1.4DG03462090.1							
OG0027431						SORBI_3003G335800			
OG0027432			Bradi2g05065.1.p						
OG0027433					Os12g0129550				
OG0027434			Bradi5g15897.1.p						
OG0027435					Os01g0618200				
OG0027436			Bradi1g69005.1.p						
OG0027437		AVESA.00018a.r1.7DG06272820.1							
OG0027438							TraesCS2A03G0698600.1		
OG0027439						SORBI_3009G064766			
OG0027440									Zm00001eb246500_P001
OG0027441							TraesCS6D03G0225900.1		
OG0027442		AVESA.00018a.r1.4CG03029010.1							
OG0027443			Bradi2g42255.1.p						
OG0027444		AVESA.00018a.r1.7AG05519130.1							
OG0027445					Os08g0226633				
OG0027446		AVESA.00018a.r1.5DG04582910.1							
OG0027447	AT1G25275.3								
OG0027448							TraesCS7D03G0615300.1		
OG0027449									Zm00001eb007890_P001
OG0027450									Zm00001eb004330_P001
OG0027451								TRITD6Av1G174560.13	
OG0027452			Bradi4g13223.1.p						
OG0027453		AVESA.00018a.r1.7AG05607640.1							
OG0027454							TraesCS1D03G0301000.1		
OG0027455						SORBI_3006G150900			
OG0027456					Os07g0237133				
OG0027457							TraesCS7D03G0846000.1		
OG0027458			Bradi5g19831.1.p						
OG0027459						SORBI_3005G182000			
OG0027460			Bradi2g43080.1.p						
OG0027461		AVESA.00018a.r1.5DG04344910.1							
OG0027462						SORBI_3005G098250			
OG0027463									Zm00001eb166380_P001
OG0027464					Os02g0732250				
OG0027465				HORVU.MOREX.r3.7HG0715950.1					
OG0027466							TraesCS2B03G0656400.1		
OG0027467			Bradi1g50436.1.p						
OG0027468	AT2G03821.1								
OG0027469									Zm00001eb133130_P001
OG0027470							TraesCS2B03G1124500.1		
OG0027471									Zm00001eb135160_P001
OG0027472					Os02g0675000				
OG0027473					Os06g0575900				
OG0027474			Bradi4g23765.1.p						
OG0027475								TRITD1Av1G223730.1	
OG0027476					Os04g0189100				
OG0027477					Os12g0568350				
OG0027478		AVESA.00018a.r1.5AG03954430.1							
OG0027479			Bradi4g13665.1.p						
OG0027480								TRITD6Av1G206390.1	
OG0027481							TraesCS2B03G0031200.1		
OG0027482							TraesCS3A03G0044400.1		
OG0027483			Bradi1g25281.1.p						
OG0027484				HORVU.MOREX.r3.7HG0708340.1					
OG0027485			Bradi1g44015.1.p						
OG0027486						SORBI_3010G214400			
OG0027487			Bradi1g78675.1.p						
OG0027488					Os06g0590200				
OG0027489					Os07g0264050				
OG0027490								TRITD5Av1G106600.2	
OG0027491	AT2G36120.1								
OG0027492						SORBI_3006G257550			
OG0027493									Zm00001eb117260_P001
OG0027494							TraesCS6D03G0133500.1		
OG0027495					Os06g0308550				
OG0027496					Os10g0202900				
OG0027497					Os05g0328000				
OG0027498		AVESA.00018a.r1.5CG04278040.1							
OG0027499						SORBI_3003G079725			
OG0027500			Bradi2g51075.1.p						
OG0027501						SORBI_3009G092200			
OG0027502								TRITD0Uv1G074730.1	
OG0027503	AT4G06639.1								
OG0027504						SORBI_3007G191150			
OG0027505		AVESA.00018a.r1.3DG02590680.1							
OG0027506		AVESA.00018a.r1.1AG00339010.1							
OG0027507					Os02g0474450				
OG0027508									Zm00001eb086750_P001
OG0027509					Os06g0133100				
OG0027510					Os09g0548900				
OG0027511								TRITD4Bv1G000260.1	
OG0027512				HORVU.MOREX.r3.3HG0270410.1					
OG0027513						SORBI_3008G061801			
OG0027514									Zm00001eb322830_P001
OG0027515									Zm00001eb107980_P001
OG0027516						SORBI_3004G327150			
OG0027517									Zm00001eb234240_P001
OG0027518						SORBI_3008G090200			
OG0027519								TRITD4Bv1G118520.1	
OG0027520							TraesCS7A03G1121900.1		
OG0027521	AT3G61170.1								
OG0027522	AT1G80525.1								
OG0027523							TraesCS5D03G0025700.1		
OG0027524									Zm00001eb409610_P001
OG0027525							TraesCS7A03G0281600.1		
OG0027526								TRITD2Av1G287900.3	
OG0027527					Os01g0693350				
OG0027528			Bradi3g22043.1.p						
OG0027529									Zm00001eb143650_P001
OG0027530					Os07g0419650				
OG0027531					Os06g0327300				
OG0027532						SORBI_3001G237200			
OG0027533					Os03g0418733				
OG0027534							TraesCS2B03G1110400.1		
OG0027535						SORBI_3009G111050			
OG0027536			Bradi1g56075.1.p						
OG0027537		AVESA.00018a.r1.6CG05168720.1							
OG0027538					Os02g0496700				
OG0027539	AT5G05113.1								
OG0027540		AVESA.00018a.r1.7AG05427530.1							
OG0027541	AT2G20970.2								
OG0027542					Os09g0283700				
OG0027543			Bradi5g23345.1.p						
OG0027544									Zm00001eb415570_P001
OG0027545									Zm00001eb292200_P001
OG0027546	ATCG00500.1								
OG0027547		AVESA.00018a.r1.2CG01372590.1							
OG0027548						SORBI_3003G314533			
OG0027549					Os02g0600750				
OG0027550			Bradi3g57917.1.p						
OG0027551	AT5G41420.1								
OG0027552			Bradi4g41246.1.p						
OG0027553					Os03g0438200				
OG0027554	AT1G10875.1								
OG0027555		AVESA.00018a.r1.6AG04867920.2							
OG0027556						SORBI_3009G136950			
OG0027557	AT5G28720.1								
OG0027558						SORBI_3007G164500			
OG0027559			Bradi3g50632.1.p						
OG0027560		AVESA.00018a.r1.5AG03652590.1							
OG0027561			Bradi1g29675.1.p						
OG0027562								TRITD5Av1G048030.1	
OG0027563					Os07g0266450				
OG0027564						SORBI_3006G149650			
OG0027565					Os06g0640400				
OG0027566							TraesCS4A03G0775700.2		
OG0027567									Zm00001eb403250_P001
OG0027568			Bradi3g32583.1.p						
OG0027569		AVESA.00018a.r1.6AG04740830.1							
OG0027570					Os12g0609000				
OG0027571							TraesCS1D03G0958500.1		
OG0027572	AT3G53950.1								
OG0027573		AVESA.00018a.r1.1DG00876870.1							
OG0027574		AVESA.00018a.r1.5CG04279350.1							
OG0027575					Os08g0335900				
OG0027576						SORBI_3002G071350			
OG0027577					Os03g0682744				
OG0027578			Bradi3g18285.1.p						
OG0027579	AT1G53366.1								
OG0027580					Os12g0621000				
OG0027581					Os10g0486932				
OG0027582	AT2G01500.1								
OG0027583			Bradi5g16513.1.p						
OG0027584			Bradi1g08545.1.p						
OG0027585					Os06g0480100				
OG0027586							TraesCS6B03G0202700.1		
OG0027587							TraesCS2B03G1477700.1		
OG0027588	AT4G21450.3								
OG0027589					Os05g0221700				
OG0027590			Bradi4g36106.1.p						
OG0027591					Os08g0454600				
OG0027592					Os10g0446700				
OG0027593		AVESA.00018a.r1.4AG02732910.1							
OG0027594			Bradi4g06693.1.p						
OG0027595						SORBI_3007G126150			
OG0027596					Os02g0653700				
OG0027597					Os04g0379966				
OG0027598								TRITD5Bv1G111040.1	
OG0027599				HORVU.MOREX.r3.2HG0138480.1					
OG0027600						SORBI_3008G085200			
OG0027601		AVESA.00018a.r1.1DG00881760.1							
OG0027602						SORBI_3001G194401			
OG0027603					Os03g0712733				
OG0027604								TRITD7Av1G230170.1	
OG0027605								TRITD4Av1G050700.1	
OG0027606						SORBI_3004G055400			
OG0027607	AT5G08660.1								
OG0027608			Bradi5g09783.1.p						
OG0027609			Bradi1g48824.1.p						
OG0027610	AT3G13403.1								
OG0027611							TraesCS4D03G0206700.1		
OG0027612					Os05g0379000				
OG0027613							TraesCS6A03G0675900.1		
OG0027614					Os07g0219200				
OG0027615						SORBI_3002G033500			
OG0027616		AVESA.00018a.r1.4AG02833190.1							
OG0027617					Os10g0390750				
OG0027618			Bradi4g16422.1.p						
OG0027619					Os06g0155100				
OG0027620						SORBI_3005G098900			
OG0027621							TraesCS6D03G0220100.1		
OG0027622	AT4G37295.1								
OG0027623						SORBI_3006G269101			
OG0027624							TraesCS2B03G0034000.1		
OG0027625								TRITD7Bv1G004580.1	
OG0027626			Bradi4g34662.1.p						
OG0027627			Bradi4g13215.1.p						
OG0027628					Os03g0135550				
OG0027629	AT2G03210.2								
OG0027630			Bradi2g23175.1.p						
OG0027631					Os06g0649100				
OG0027632									Zm00001eb053400_P001
OG0027633									Zm00001eb175790_P001
OG0027634					Os02g0703050				
OG0027635		AVESA.00018a.r1.4CG03071070.1							
OG0027636		AVESA.00018a.r1.1DG00874560.1							
OG0027637						SORBI_3001G212350			
OG0027638					Os02g0757800				
OG0027639							TraesCS5B03G0639500.1		
OG0027640								TRITD2Bv1G034230.1	
OG0027641					Os06g0486150				
OG0027642	AT2G14210.2								
OG0027643			Bradi1g69822.1.p						
OG0027644						SORBI_3007G216550			
OG0027645					Os04g0602425				
OG0027646		AVESA.00018a.r1.7CG05966670.1							
OG0027647					Os01g0510001				
OG0027648		AVESA.00018a.r1.7DG05985020.1							
OG0027649		AVESA.00018a.r1.2CG01476360.1							
OG0027650						SORBI_3007G177150			
OG0027651			Bradi2g54806.1.p						
OG0027652					Os11g0473275				
OG0027653						SORBI_3006G054266			
OG0027654		AVESA.00018a.r1.6DG05348490.1							
OG0027655							TraesCS6D03G0694200.1		
OG0027656			Bradi1g29053.1.p						
OG0027657					Os06g0237300				
OG0027658					Os11g0692850				
OG0027659						SORBI_3009G102600			
OG0027660								TRITD4Bv1G180330.1	
OG0027661	AT4G24470.3								
OG0027662					Os09g0414801				
OG0027663						SORBI_3006G044000			
OG0027664	AT4G09585.1								
OG0027665									Zm00001eb108950_P001
OG0027666							TraesCS2A03G1284600.1		
OG0027667			Bradi3g27185.1.p						
OG0027668						SORBI_3008G154600			
OG0027669			Bradi1g12955.1.p						
OG0027670								TRITD3Bv1G177420.2	
OG0027671		AVESA.00018a.r1.7AG05449900.2							
OG0027672						SORBI_3009G014266			
OG0027673	AT1G17800.1								
OG0027674					Os06g0272750				
OG0027675					Os09g0534375				
OG0027676						SORBI_3001G002900			
OG0027677					Os12g0495001				
OG0027678	AT5G18748.1								
OG0027679									Zm00001eb338530_P001
OG0027680									Zm00001eb120000_P001
OG0027681		AVESA.00018a.r1.2DG01483700.1							
OG0027682						SORBI_3001G272532			
OG0027683					Os06g0418151				
OG0027684							TraesCS3D03G1051700.1		
OG0027685			Bradi1g41855.1.p						
OG0027686		AVESA.00018a.r1.4AG02764800.1							
OG0027687				HORVU.MOREX.r3.4HG0405690.1					
OG0027688						SORBI_3001G222550			
OG0027689		AVESA.00018a.r1.7DG05999220.1							
OG0027690					Os03g0309701				
OG0027691	ATMG01275.1								
OG0027692									Zm00001eb038800_P001
OG0027693						SORBI_3009G094000			
OG0027694			Bradi5g24696.1.p						
OG0027695		AVESA.00018a.r1.3AG01810180.1							
OG0027696		AVESA.00018a.r1.5DG04557440.1							
OG0027697					Os08g0186700				
OG0027698	AT3G15909.1								
OG0027699			Bradi4g25946.1.p						
OG0027700									Zm00001eb334710_P001
OG0027701					Os05g0520801				
OG0027702			Bradi1g58754.1.p						
OG0027703						SORBI_3009G072066			
OG0027704					Os05g0443400				
OG0027705	AT2G05645.1								
OG0027706									Zm00001eb239180_P001
OG0027707									Zm00001eb136390_P001
OG0027708	AT5G64310.1								
OG0027709							TraesCS3D03G0390400.1		
OG0027710								TRITD5Bv1G136980.1	
OG0027711					Os09g0282300				
OG0027712					Os06g0595260				
OG0027713							TraesCS2A03G0081900.1		
OG0027714			Bradi1g39944.1.p						
OG0027715	AT5G43480.1								
OG0027716	AT5G06755.1								
OG0027717			Bradi3g15812.1.p						
OG0027718									Zm00001eb180500_P001
OG0027719							TraesCS2D03G0545700.1		
OG0027720			Bradi2g17233.1.p						
OG0027721									Zm00001eb417420_P001
OG0027722		AVESA.00018a.r1.1DG00750830.3							
OG0027723						SORBI_3002G098100			
OG0027724					Os03g0723500				
OG0027725		AVESA.00018a.r1.6AG04680410.1							
OG0027726						SORBI_3003G344950			
OG0027727		AVESA.00018a.r1.2AG00922350.1							
OG0027728						SORBI_3005G122900			
OG0027729			Bradi4g15735.1.p						
OG0027730		AVESA.00018a.r1.4DG03488050.1							
OG0027731					Os08g0130550				
OG0027732		AVESA.00018a.r1.3CG02145240.1							
OG0027733			Bradi3g61106.1.p						
OG0027734							TraesCS7D03G0218200.1		
OG0027735			Bradi4g11122.1.p						
OG0027736									Zm00001eb034130_P001
OG0027737		AVESA.00018a.r1.2DG01522130.1							
OG0027738	AT3G54363.1								
OG0027739			Bradi2g43705.1.p						
OG0027740	AT4G29654.1								
OG0027741							TraesCS2B03G1373300.1		
OG0027742				HORVU.MOREX.r3.7HG0727220.1					
OG0027743						SORBI_3004G298800			
OG0027744							TraesCS7A03G0786200.1		
OG0027745								TRITD5Av1G087980.2	
OG0027746	AT3G47836.1								
OG0027747					Os02g0568350				
OG0027748			Bradi3g26690.1.p						
OG0027749			Bradi4g42565.1.p						
OG0027750								TRITD1Bv1G196750.6	
OG0027751		AVESA.00018a.r1.7DG06083870.1							
OG0027752		AVESA.00018a.r1.3AG01815590.1							
OG0027753									Zm00001eb072260_P001
OG0027754			Bradi1g14567.1.p						
OG0027755						SORBI_3006G062433			
OG0027756							TraesCS5B03G0775000.3		
OG0027757					Os11g0121450				
OG0027758							TraesCS2A03G1337000.1		
OG0027759	AT1G06045.1								
OG0027760						SORBI_3007G090701			
OG0027761									Zm00001eb141180_P001
OG0027762	AT3G15251.1								
OG0027763						SORBI_3009G209650			
OG0027764				HORVU.MOREX.r3.2HG0124500.1					
OG0027765					Os05g0439500				
OG0027766						SORBI_3008G078966			
OG0027767					Os02g0604200				
OG0027768			Bradi1g01876.1.p						
OG0027769					Os07g0653432				
OG0027770						SORBI_3009G081400			
OG0027771					Os01g0572700				
OG0027772		AVESA.00018a.r1.4DG03599150.3							
OG0027773					Os10g0184366				
OG0027774		AVESA.00018a.r1.2DG01557550.1							
OG0027775					Os02g0801900				
OG0027776									Zm00001eb081200_P004
OG0027777					Os08g0202300				
OG0027778			Bradi2g02834.1.p						
OG0027779					Os06g0161350				
OG0027780									Zm00001eb196620_P001
OG0027781							TraesCS3D03G0890900.2		
OG0027782	AT1G80200.2								
OG0027783	AT5G67640.1								
OG0027784			Bradi1g43085.1.p						
OG0027785							TraesCS2B03G1480400.1		
OG0027786								TRITD3Bv1G118040.4	
OG0027787								TRITD4Av1G044020.2	
OG0027788					Os11g0550200				
OG0027789			Bradi2g23132.1.p						
OG0027790						SORBI_3003G253350			
OG0027791					Os01g0741700				
OG0027792					Os03g0326350				
OG0027793			Bradi5g14275.1.p						
OG0027794								TRITD4Av1G253030.1	
OG0027795				HORVU.MOREX.r3.5HG0532240.1					
OG0027796						SORBI_3006G152100			
OG0027797			Bradi1g63645.1.p						
OG0027798	AT3G19070.1								
OG0027799									Zm00001eb031180_P001
OG0027800									Zm00001eb234420_P001
OG0027801									Zm00001eb064110_P001
OG0027802					Os11g0577050				
OG0027803			Bradi2g41245.1.p						
OG0027804							TraesCS4B03G0850400.1		
OG0027805							TraesCSU03G0082500.1		
OG0027806					Os03g0343250				
OG0027807								TRITD2Bv1G219850.1	
OG0027808	AT5G05650.1								
OG0027809	AT3G25905.1								
OG0027810					Os04g0411525				
OG0027811								TRITD1Bv1G135980.4	
OG0027812				HORVU.MOREX.r3.7HG0659300.1					
OG0027813						SORBI_3002G313850			
OG0027814									Zm00001eb051720_P001
OG0027815								TRITD4Av1G256300.2	
OG0027816	AT5G44063.1								
OG0027817							TraesCS6A03G0186600.1		
OG0027818					Os05g0568250				
OG0027819		AVESA.00018a.r1.4DG03610740.1							
OG0027820							TraesCS7A03G0829400.1		
OG0027821						SORBI_3004G272000			
OG0027822			Bradi2g16690.3.p						
OG0027823									Zm00001eb219010_P001
OG0027824		AVESA.00018a.r1.3AG01948170.2							
OG0027825				HORVU.MOREX.r3.2HG0099710.1					
OG0027826						SORBI_3005G183400			
OG0027827	AT3G15605.4								
OG0027828						SORBI_3004G188201			
OG0027829					Os06g0190600				
OG0027830							TraesCS5D03G0571300.1		
OG0027831							TraesCS6D03G0472400.1		
OG0027832									Zm00001eb429580_P001
OG0027833					Os10g0496700				
OG0027834						SORBI_3009G244100			
OG0027835		AVESA.00018a.r1.7CG05952150.1							
OG0027836									Zm00001eb378910_P001
OG0027837									Zm00001eb067030_P001
OG0027838					Os12g0621025				
OG0027839									Zm00001eb203410_P001
OG0027840			Bradi1g51586.1.p						
OG0027841		AVESA.00018a.r1.4DG03636320.1							
OG0027842			Bradi1g18705.1.p						
OG0027843	AT4G26145.1								
OG0027844								TRITD1Av1G217520.2	
OG0027845					Os12g0254700				
OG0027846						SORBI_3004G154700			
OG0027847						SORBI_3005G108500			
OG0027848									Zm00001eb387520_P004
OG0027849			Bradi3g35537.1.p						
OG0027850			Bradi5g19955.1.p						
OG0027851						SORBI_3005G036450			
OG0027852			Bradi5g22226.1.p						
OG0027853			Bradi3g61056.1.p						
OG0027854					Os10g0450900				
OG0027855					Os03g0358950				
OG0027856					Os04g0126800				
OG0027857							TraesCS3D03G0155000.1		
OG0027858								TRITD6Av1G007510.1	
OG0027859						SORBI_3005G208425			
OG0027860					Os12g0269466				
OG0027861									Zm00001eb105500_P001
OG0027862					Os07g0676200				
OG0027863					Os04g0405225				
OG0027864							TraesCS4B03G0813100.1		
OG0027865					Os03g0802400				
OG0027866								TRITD4Av1G173170.1	
OG0027867			Bradi3g33312.1.p						
OG0027868		AVESA.00018a.r1.4DG03350730.1							
OG0027869									Zm00001eb100020_P004
OG0027870					Os08g0484902				
OG0027871			Bradi2g25905.1.p						
OG0027872			Bradi3g07680.1.p						
OG0027873			Bradi2g41741.1.p						
OG0027874							TraesCS5B03G0244800.1		
OG0027875					Os12g0274450				
OG0027876									Zm00001eb343310_P001
OG0027877									Zm00001eb306140_P001
OG0027878								TRITD1Av1G053070.1	
OG0027879	AT3G60760.1								
OG0027880								TRITD3Bv1G085610.3	
OG0027881					Os02g0469950				
OG0027882		AVESA.00018a.r1.5CG04214940.1							
OG0027883							TraesCS2B03G0343600.1		
OG0027884					Os06g0250300				
OG0027885		AVESA.00018a.r1.5AG03951710.1							
OG0027886					Os01g0634000				
OG0027887								TRITD5Av1G010350.1	
OG0027888						SORBI_3005G169000			
OG0027889						SORBI_3005G066700			
OG0027890					Os06g0165201				
OG0027891					Os05g0471232				
OG0027892									Zm00001eb342880_P001
OG0027893							TraesCS6B03G0270800.1		
OG0027894									Zm00001eb355210_P003
OG0027895		AVESA.00018a.r1.3DG02440000.3							
OG0027896						SORBI_3009G077000			
OG0027897	AT5G06930.1								
OG0027898			Bradi2g35477.1.p						
OG0027899					Os01g0240800				
OG0027900		AVESA.00018a.r1.7CG05828470.3							
OG0027901								TRITD4Av1G160140.1	
OG0027902						SORBI_3010G190350			
OG0027903					Os04g0524950				
OG0027904			Bradi1g76366.1.p						
OG0027905		AVESA.00018a.r1.1DG00865040.1							
OG0027906					Os10g0362300				
OG0027907			Bradi1g47945.1.p						
OG0027908					Os05g0129800				
OG0027909								TRITD7Av1G174190.1	
OG0027910		AVESA.00018a.r1.4AG02882350.1							
OG0027911						SORBI_3005G096500			
OG0027912							TraesCS2D03G0116000.1		
OG0027913							TraesCS6A03G0749000.1		
OG0027914							TraesCS6D03G0553900.1		
OG0027915						SORBI_3003G369566			
OG0027916		AVESA.00018a.r1.4DG03354240.1							
OG0027917									Zm00001eb403890_P001
OG0027918				HORVU.MOREX.r3.7HG0686330.1					
OG0027919	AT5G06820.1								
OG0027920					Os01g0945150				
OG0027921	AT4G19485.1								
