Orthogroup	Duplications (all)	Duplications (50% support)
OG0000727	41	41
OG0000728	62	62
OG0000729	48	45
OG0000730	39	36
OG0000731	64	64
OG0000732	38	38
OG0000733	38	36
OG0000734	27	26
OG0000735	35	35
OG0000736	31	30
OG0000737	40	37
OG0000738	40	38
OG0000739	39	39
OG0000740	33	33
OG0000741	32	29
OG0000742	31	31
OG0000743	25	25
OG0000744	39	39
OG0000745	35	33
OG0000746	29	27
OG0000747	36	34
OG0000748	33	31
OG0000749	34	31
OG0000750	38	37
OG0000751	36	34
OG0000752	42	39
OG0000753	43	40
OG0000754	45	45
OG0000755	35	35
OG0000756	33	31
OG0000757	38	34
OG0000758	63	63
OG0000759	43	43
OG0000760	37	35
OG0000761	52	45
OG0000762	29	28
OG0000763	32	31
OG0000764	31	31
OG0000765	30	30
OG0000766	44	42
OG0000767	29	29
OG0000768	24	24
OG0000769	35	34
OG0000770	41	40
OG0000771	31	30
OG0000772	28	27
OG0000773	29	29
OG0000774	41	40
OG0000775	35	25
OG0000776	61	61
OG0000777	43	38
OG0000778	35	32
OG0000779	62	62
OG0000780	39	37
OG0000781	44	41
OG0000782	41	40
OG0000783	41	41
OG0000784	47	47
OG0000785	47	41
OG0000786	31	20
OG0000787	38	38
OG0000788	31	30
OG0000789	32	28
OG0000790	28	27
OG0000791	25	25
OG0000792	34	34
OG0000793	26	26
OG0000794	33	25
OG0000795	26	26
OG0000796	38	37
OG0000797	34	33
OG0000798	31	31
OG0000799	51	41
OG0000800	33	33
OG0000801	60	60
OG0000802	35	34
OG0000803	31	26
OG0000804	39	37
OG0000805	37	35
OG0000806	36	35
OG0000807	35	34
OG0000808	60	60
OG0000809	24	24
OG0000810	25	21
OG0000811	34	32
OG0000812	33	31
OG0000813	28	28
OG0000814	32	32
OG0000815	24	24
OG0000816	29	28
OG0000817	32	31
OG0000818	30	29
OG0000819	33	32
OG0000820	32	19
OG0000821	33	24
OG0000822	38	35
OG0000823	39	37
OG0000824	35	35
OG0000825	38	37
OG0000826	47	47
OG0000827	40	39
OG0000828	29	26
OG0000829	45	45
OG0000830	41	41
OG0000831	36	36
OG0000832	37	37
OG0000833	34	34
OG0000834	31	29
OG0000835	31	31
OG0000836	51	51
OG0000837	30	30
OG0000838	30	28
OG0000839	25	25
OG0000840	23	23
OG0000841	34	32
OG0000842	26	26
OG0000843	28	27
OG0000844	41	39
OG0000845	36	36
OG0000846	37	36
OG0000847	43	40
OG0000848	35	34
OG0000849	30	30
OG0000850	34	33
OG0000851	27	27
OG0000852	24	24
OG0000853	31	28
OG0000854	27	27
OG0000855	27	24
OG0000856	29	27
OG0000857	26	26
OG0000858	27	26
OG0000859	26	23
OG0000860	50	46
OG0000861	32	31
OG0000862	56	56
OG0000863	49	45
OG0000864	32	30
OG0000865	35	33
OG0000866	36	35
OG0000867	30	30
OG0000868	35	32
OG0000869	39	37
OG0000870	38	37
OG0000871	34	33
OG0000872	53	53
OG0000873	46	46
OG0000874	27	26
OG0000875	28	28
OG0000876	25	23
OG0000877	30	30
OG0000878	37	36
OG0000879	23	23
OG0000880	23	23
OG0000881	31	30
OG0000882	34	34
OG0000883	29	29
OG0000884	26	23
OG0000885	32	30
OG0000886	35	35
OG0000887	34	34
OG0000888	27	27
OG0000889	39	38
OG0000890	39	39
OG0000891	34	32
OG0000892	46	41
OG0000893	27	27
OG0000894	25	25
OG0000895	14	12
OG0000896	25	23
OG0000897	25	25
OG0000898	31	31
OG0000899	35	31
OG0000900	32	30
OG0000901	25	25
OG0000902	24	23
OG0000903	25	24
OG0000904	25	25
OG0000905	29	27
OG0000906	26	26
OG0000907	33	28
OG0000908	35	32
OG0000909	36	31
OG0000910	34	25
OG0000911	28	26
OG0000912	42	39
OG0000913	39	36
OG0000914	47	43
OG0000915	35	31
OG0000916	31	31
OG0000917	38	38
OG0000918	38	38
OG0000919	38	35
OG0000920	49	49
OG0000921	38	38
OG0000922	56	56
OG0000923	26	25
OG0000924	21	19
OG0000925	32	32
OG0000926	33	33
OG0000927	37	34
OG0000928	26	26
OG0000929	24	23
OG0000930	25	24
OG0000931	28	27
OG0000932	37	36
OG0000933	25	25
OG0000934	24	24
OG0000935	24	21
OG0000936	22	22
OG0000937	25	24
OG0000938	31	31
OG0000939	35	31
OG0000940	36	32
OG0000941	36	34
OG0000942	55	55
OG0000943	33	33
OG0000944	55	55
OG0000945	45	41
OG0000946	29	29
OG0000947	38	37
OG0000948	34	33
OG0000949	28	28
OG0000950	33	29
OG0000951	26	26
OG0000952	22	22
OG0000953	24	24
OG0000954	25	24
OG0000955	19	15
OG0000956	24	24
OG0000957	22	22
OG0000958	26	23
OG0000959	25	25
OG0000960	23	22
OG0000961	28	28
OG0000962	31	31
OG0000963	32	32
OG0000964	32	30
OG0000965	30	29
OG0000966	28	26
OG0000967	29	26
OG0000968	54	54
OG0000969	32	28
OG0000970	35	35
OG0000971	33	32
OG0000972	29	27
OG0000973	23	22
OG0000974	31	30
OG0000975	37	34
OG0000976	25	23
OG0000977	54	54
OG0000978	51	51
OG0000979	27	24
OG0000980	21	21
OG0000981	21	21
OG0000982	22	22
OG0000983	21	20
OG0000984	24	24
OG0000985	32	31
OG0000986	30	29
OG0000987	24	23
OG0000988	23	23
OG0000989	28	25
OG0000990	22	22
OG0000991	35	33
OG0000992	25	24
OG0000993	36	34
OG0000994	25	24
OG0000995	34	33
OG0000996	37	34
OG0000997	28	23
OG0000998	32	32
OG0000999	33	31
OG0001000	32	29
OG0001001	29	29
OG0001002	29	27
OG0001003	51	51
OG0001004	20	20
OG0001005	25	24
OG0001006	27	27
OG0001007	28	28
OG0001008	29	27
OG0001009	30	29
OG0001010	30	28
OG0001011	30	27
OG0001012	23	23
OG0001013	29	27
OG0001014	24	23
OG0001015	22	22
OG0001016	31	27
OG0001017	24	24
OG0001018	23	21
OG0001019	35	32
OG0001020	38	35
OG0001021	32	31
OG0001022	33	31
OG0001023	52	52
OG0001024	36	34
OG0001025	35	30
OG0001026	27	26
OG0001027	28	27
OG0001028	32	30
OG0001029	52	52
OG0001030	20	20
OG0001031	34	33
OG0001032	22	22
OG0001033	25	24
OG0001034	34	34
OG0001035	25	25
OG0001036	24	24
OG0001037	21	20
OG0001038	24	23
OG0001039	24	23
OG0001040	28	27
OG0001041	27	27
OG0001042	25	24
OG0001043	21	20
OG0001044	24	24
OG0001045	19	18
OG0001046	22	22
OG0001047	28	26
OG0001048	26	26
OG0001049	20	20
OG0001050	26	26
OG0001051	26	25
OG0001052	30	27
OG0001053	26	26
OG0001054	21	21
OG0001055	22	17
OG0001056	34	32
OG0001057	37	33
OG0001058	29	29
OG0001059	37	35
OG0001060	42	38
OG0001061	49	49
OG0001062	36	36
OG0001063	33	33
OG0001064	25	24
OG0001065	36	35
OG0001066	25	25
OG0001067	33	33
OG0001068	21	21
OG0001069	19	19
OG0001070	21	21
OG0001071	35	28
OG0001072	36	35
OG0001073	29	29
OG0001074	23	22
OG0001075	23	22
OG0001076	32	31
OG0001077	40	40
OG0001078	25	24
OG0001079	27	27
OG0001080	20	20
OG0001081	25	25
OG0001082	23	23
OG0001083	22	21
OG0001084	26	24
OG0001085	32	29
OG0001086	47	47
OG0001087	33	31
OG0001088	27	27
OG0001089	32	31
OG0001090	47	47
OG0001091	34	31
OG0001092	30	30
OG0001093	24	24
OG0001094	25	24
OG0001095	25	23
OG0001096	26	25
OG0001097	27	26
OG0001098	21	21
OG0001099	26	26
OG0001100	29	27
OG0001101	17	17
OG0001102	23	20
OG0001103	31	31
OG0001104	30	30
OG0001105	19	15
OG0001106	25	25
OG0001107	21	21
OG0001108	26	25
OG0001109	31	27
OG0001110	25	24
OG0001111	37	37
OG0001112	24	23
OG0001113	22	22
OG0001114	32	32
OG0001115	26	26
OG0001116	21	21
OG0001117	20	20
OG0001118	20	20
OG0001119	26	26
OG0001120	23	23
OG0001121	27	27
OG0001122	21	20
OG0001123	26	26
OG0001124	26	24
OG0001125	22	21
OG0001126	49	49
OG0001127	33	33
OG0001128	33	32
OG0001129	33	32
OG0001130	41	39
OG0001131	29	29
OG0001132	25	21
OG0001133	33	33
OG0001134	34	34
OG0001135	31	30
OG0001136	26	25
OG0001137	27	26
OG0001138	38	38
OG0001139	24	24
OG0001140	21	20
OG0001141	20	20
OG0001142	28	25
OG0001143	21	21
OG0001144	24	24
OG0001145	26	26
OG0001146	48	48
OG0001147	21	21
OG0001148	21	21
OG0001149	26	24
OG0001150	36	34
OG0001151	24	24
OG0001152	29	29
OG0001153	17	17
OG0001154	31	28
OG0001155	30	28
OG0001156	27	26
OG0001157	28	25
OG0001158	29	27
OG0001159	28	28
OG0001160	35	31
OG0001161	35	35
OG0001162	37	33
OG0001163	35	34
OG0001164	48	48
OG0001165	25	25
OG0001166	26	26
OG0001167	27	23
OG0001168	26	24
OG0001169	29	28
OG0001170	32	31
OG0001171	34	33
OG0001172	34	33
OG0001173	38	38
OG0001174	23	22
OG0001175	28	28
OG0001176	27	24
OG0001177	22	21
OG0001178	28	27
OG0001179	46	46
OG0001180	34	34
OG0001181	22	22
OG0001182	20	19
OG0001183	21	21
OG0001184	26	26
OG0001185	20	20
OG0001186	23	23
OG0001187	24	23
OG0001188	26	25
OG0001189	17	17
OG0001190	21	20
OG0001191	20	20
OG0001192	23	22
OG0001193	23	20
OG0001194	20	20
OG0001195	22	22
OG0001196	28	27
OG0001197	21	20
OG0001198	27	26
OG0001199	20	20
OG0001200	28	28
OG0001201	21	20
OG0001202	20	20
OG0001203	20	19
OG0001204	20	20
OG0001205	29	27
OG0001206	22	20
OG0001207	34	34
OG0001208	24	23
OG0001209	26	25
OG0001210	21	19
OG0001211	21	20
OG0001212	27	26
OG0001213	15	14
OG0001214	30	25
OG0001215	47	47
OG0001216	45	45
OG0001217	28	24
OG0001218	21	21
OG0001219	29	27
OG0001220	31	31
OG0001221	31	30
OG0001222	27	27
OG0001223	26	26
OG0001224	25	22
OG0001225	33	30
OG0001226	33	32
OG0001227	30	29
OG0001228	32	32
OG0001229	23	22
OG0001230	23	23
OG0001231	25	23
OG0001232	31	30
OG0001233	16	13
OG0001234	22	21
OG0001235	23	22
OG0001236	18	18
OG0001237	23	22
OG0001238	29	28
OG0001239	28	27
OG0001240	25	24
OG0001241	25	23
OG0001242	27	27
OG0001243	19	19
OG0001244	16	16
OG0001245	20	20
OG0001246	22	20
OG0001247	24	24
OG0001248	15	13
OG0001249	29	28
OG0001250	27	25
OG0001251	22	21
OG0001252	25	25
OG0001253	24	23
OG0001254	23	23
OG0001255	21	21
OG0001256	25	25
OG0001257	30	30
OG0001258	30	30
OG0001259	20	19
OG0001260	21	21
OG0001261	20	20
OG0001262	20	20
OG0001263	26	26
OG0001264	22	22
OG0001265	20	18
OG0001266	23	23
OG0001267	21	19
OG0001268	24	19
OG0001269	26	25
OG0001270	26	24
OG0001271	21	21
OG0001272	22	22
OG0001273	28	27
OG0001274	28	27
OG0001275	28	28
OG0001276	24	20
OG0001277	24	24
OG0001278	25	25
OG0001279	24	23
OG0001280	18	16
OG0001281	22	18
OG0001282	19	19
OG0001283	18	18
OG0001284	19	18
OG0001285	21	20
OG0001286	26	24
OG0001287	20	19
OG0001288	18	18
OG0001289	18	18
OG0001290	21	21
OG0001291	33	33
OG0001292	23	19
OG0001293	30	30
OG0001294	25	25
OG0001295	20	17
OG0001296	25	24
OG0001297	18	18
OG0001298	24	24
OG0001299	18	17
OG0001300	17	17
OG0001301	21	21
OG0001302	22	22
OG0001303	28	25
OG0001304	29	25
OG0001305	32	32
OG0001306	28	28
OG0001307	37	35
OG0001308	30	28
OG0001309	26	26
OG0001310	28	28
OG0001311	23	22
OG0001312	24	22
OG0001313	22	22
OG0001314	27	27
OG0001315	20	20
OG0001316	33	30
OG0001317	38	37
OG0001318	25	23
OG0001319	45	45
OG0001320	35	31
OG0001321	23	22
OG0001322	18	16
OG0001323	40	40
OG0001324	21	16
OG0001325	17	16
OG0001326	23	22
OG0001327	23	20
OG0001328	22	22
OG0001329	19	18
OG0001330	19	16
OG0001331	16	16
OG0001332	22	20
OG0001333	18	17
OG0001334	20	16
OG0001335	22	22
OG0001336	20	20
OG0001337	19	18
OG0001338	26	22
OG0001339	23	22
OG0001340	21	20
OG0001341	19	19
OG0001342	19	19
OG0001343	21	21
OG0001344	23	23
OG0001345	19	19
OG0001346	20	19
OG0001347	26	25
OG0001348	23	23
OG0001349	19	19
OG0001350	24	24
OG0001351	23	23
OG0001352	19	13
OG0001353	44	44
OG0001354	23	18
OG0001355	24	22
OG0001356	25	25
OG0001357	26	26
OG0001358	29	27
OG0001359	31	27
OG0001360	29	28
OG0001361	25	21
OG0001362	23	23
OG0001363	36	35
OG0001364	26	26
OG0001365	28	28
OG0001366	26	24
OG0001367	19	18
OG0001368	21	21
OG0001369	18	18
OG0001370	20	15
OG0001371	35	35
OG0001372	24	23
OG0001373	20	20
OG0001374	20	11
OG0001375	19	17
OG0001376	20	20
OG0001377	21	18
OG0001378	18	18
OG0001379	22	21
OG0001380	20	19
OG0001381	20	19
OG0001382	25	25
OG0001383	17	16
OG0001384	20	20
OG0001385	19	19
OG0001386	27	27
OG0001387	43	43
OG0001388	20	20
OG0001389	19	19
OG0001390	24	22
OG0001391	19	19
OG0001392	30	24
OG0001393	20	20
