HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
N2.HOG0000070	OG0000009	n261						SORBI_3006G234500			
N2.HOG0000071	OG0000009	n301						SORBI_3006G022400, SORBI_3001G049000			
N2.HOG0000072	OG0000009	n363						SORBI_3001G498700, SORBI_3006G225800, SORBI_3002G015200			
N2.HOG0000073	OG0000009	n450						SORBI_3004G145300			
N2.HOG0000074	OG0000009	n459						SORBI_3004G069100, SORBI_3002G356700			
N2.HOG0000075	OG0000009	n495						SORBI_3003G207600			Zm00001eb161220_P001
N2.HOG0000076	OG0000013	n3						SORBI_3003G059500			Zm00001eb185380_P001
N2.HOG0000077	OG0000013	n21						SORBI_3007G080780, SORBI_3007G080840			Zm00001eb121910_P001, Zm00001eb163580_P001, Zm00001eb163590_P001
N2.HOG0000078	OG0000013	n62						SORBI_3010G174600, SORBI_3005G156201			
N2.HOG0000079	OG0000013	n130						SORBI_3010G174550			
N2.HOG0000080	OG0000013	n139						SORBI_3005G127800, SORBI_3003G100500, SORBI_3010G130700			
N2.HOG0000081	OG0000013	n177						SORBI_3003G193000			
N2.HOG0000082	OG0000013	n210						SORBI_3009G012900			
N2.HOG0000083	OG0000013	n247						SORBI_3010G235100			
N2.HOG0000084	OG0000013	n256						SORBI_3008G018700, SORBI_3003G210601			
N2.HOG0000085	OG0000013	n314						SORBI_3004G017000			
N2.HOG0000086	OG0000013	n342						SORBI_3003G210500, SORBI_3003G210801			
N2.HOG0000087	OG0000013	n444						SORBI_3005G060900			Zm00001eb102670_P001
N2.HOG0000088	OG0000013	n449									Zm00001eb102660_P001
N2.HOG0000089	OG0000015	n3						SORBI_3003G298500			
N2.HOG0000090	OG0000015	n28						SORBI_3009G197000			Zm00001eb168290_P001, Zm00001eb353110_P001
N2.HOG0000091	OG0000015	n88						SORBI_3005G045600			Zm00001eb202200_P001
N2.HOG0000092	OG0000015	n91						SORBI_3004G128400, SORBI_3009G197800, SORBI_3009G198000			Zm00001eb292880_P001, Zm00001eb292890_P001
N2.HOG0000093	OG0000015	n95						SORBI_3009G197600			Zm00001eb170590_P001, Zm00001eb198140_P003, Zm00001eb198150_P001, Zm00001eb292850_P002
N2.HOG0000094	OG0000015	n99						SORBI_3009G197400, SORBI_3009G197100			Zm00001eb292840_P001
N2.HOG0000095	OG0000015	n105						SORBI_3009G043900			Zm00001eb392340_P001
N2.HOG0000096	OG0000015	n106						SORBI_3001G354400, SORBI_3001G354200			Zm00001eb018630_P001, Zm00001eb018640_P001, Zm00001eb018660_P002, Zm00001eb092770_P001
N2.HOG0000097	OG0000015	n111						SORBI_3010G230800, SORBI_3010G234400, SORBI_3010G234500, SORBI_3004G341600, SORBI_3006G007900, SORBI_3007G074800, SORBI_3006G008000, SORBI_3005G086600, SORBI_3004G341500, SORBI_3010G231000, SORBI_3006G007850, SORBI_3001G246650, SORBI_3001G246700			Zm00001eb191590_P001
N2.HOG0000098	OG0000015	n203						SORBI_3005G216200, SORBI_3005G216100, SORBI_3007G170500			
N2.HOG0000099	OG0000015	n228						SORBI_3008G013900, SORBI_3008G014000			Zm00001eb040570_P001, Zm00001eb405160_P001, Zm00001eb405180_P001
N2.HOG0000100	OG0000015	n236									Zm00001eb169520_P001, Zm00001eb170300_P001
N2.HOG0000101	OG0000015	n240									Zm00001eb306700_P001
N2.HOG0000102	OG0000015	n246						SORBI_3007G099400			Zm00001eb412260_P001
N2.HOG0000103	OG0000015	n267						SORBI_3002G079300, SORBI_3004G083500, SORBI_3002G077700, SORBI_3002G079500, SORBI_3008G061401, SORBI_3004G083401			
N2.HOG0000104	OG0000015	n333						SORBI_3005G224300, SORBI_3005G224400			Zm00001eb164750_P001
N2.HOG0000105	OG0000015	n388						SORBI_3005G101900			Zm00001eb090820_P001, Zm00001eb090830_P001
N2.HOG0000106	OG0000015	n390						SORBI_3005G107900, SORBI_3005G110451, SORBI_3005G110454			Zm00001eb090230_P001
N2.HOG0000107	OG0000016	n29						SORBI_3004G022200, SORBI_3004G021900, SORBI_3004G022000, SORBI_3004G021800, SORBI_3004G022100, SORBI_3K014200			
N2.HOG0000108	OG0000016	n44						SORBI_3004G021700, SORBI_3004G021600			Zm00001eb208560_P001
N2.HOG0000109	OG0000016	n69						SORBI_3006G011350			
N2.HOG0000110	OG0000016	n73						SORBI_3004G022500, SORBI_3004G022300			Zm00001eb230590_P001, Zm00001eb230600_P001, Zm00001eb230630_P001, Zm00001eb230660_P001, Zm00001eb230680_P001
N2.HOG0000111	OG0000016	n151						SORBI_3004G022800, SORBI_3004G022432, SORBI_3004G022600			Zm00001eb230670_P001, Zm00001eb230690_P001
N2.HOG0000112	OG0000016	n183						SORBI_3004G021500			Zm00001eb208550_P001
N2.HOG0000113	OG0000016	n233						SORBI_3009G108300, SORBI_3009G107600			
N2.HOG0000114	OG0000016	n253						SORBI_3003G356850			
N2.HOG0000115	OG0000016	n257						SORBI_3008G067200			Zm00001eb138720_P001
N2.HOG0000116	OG0000016	n307						SORBI_3009G009400, SORBI_3009G009500, SORBI_3009G009800, SORBI_3009G009600			Zm00001eb355990_P001
N2.HOG0000117	OG0000016	n319						SORBI_3009G009900			Zm00001eb267010_P001
N2.HOG0000118	OG0000016	n320						SORBI_3009G010000			Zm00001eb267000_P001
N2.HOG0000119	OG0000016	n352						SORBI_3009G009700			Zm00001eb355980_P001
N2.HOG0000120	OG0000017	n31									Zm00001eb255020_P001
N2.HOG0000121	OG0000017	n47						SORBI_3001G176900			Zm00001eb049650_P001
N2.HOG0000122	OG0000017	n48						SORBI_3004G069400			Zm00001eb234500_P002
N2.HOG0000123	OG0000017	n59						SORBI_3004G235600			Zm00001eb254990_P002
N2.HOG0000124	OG0000017	n72						SORBI_3003G199700, SORBI_3003G396100, SORBI_3004G235500			Zm00001eb143990_P002
N2.HOG0000125	OG0000017	n113						SORBI_3010G041100, SORBI_3002G179800			
N2.HOG0000126	OG0000017	n116						SORBI_3001G021100, SORBI_3001G032550			Zm00001eb062820_P002
N2.HOG0000127	OG0000017	n118						SORBI_3001G034000, SORBI_3001G033900			Zm00001eb062700_P001
N2.HOG0000128	OG0000017	n120						SORBI_3006G183301, SORBI_3001G029000			
N2.HOG0000129	OG0000017	n130						SORBI_3004G235300			
N2.HOG0000130	OG0000017	n131						SORBI_3004G305100			Zm00001eb255520_P002
N2.HOG0000131	OG0000017	n132						SORBI_3010G091200			Zm00001eb107280_P004
N2.HOG0000132	OG0000019	n0									Zm00001eb230970_P001, Zm00001eb261960_P001, Zm00001eb261970_P001, Zm00001eb261980_P001, Zm00001eb261990_P001, Zm00001eb262000_P001, Zm00001eb262010_P001, Zm00001eb262020_P001, Zm00001eb262030_P001, Zm00001eb262040_P001, Zm00001eb262050_P001, Zm00001eb262060_P001, Zm00001eb262070_P001, Zm00001eb262080_P001, Zm00001eb262090_P001, Zm00001eb262100_P001, Zm00001eb262120_P001, Zm00001eb262130_P001, Zm00001eb262140_P001, Zm00001eb262150_P001, Zm00001eb262160_P001, Zm00001eb262170_P001, Zm00001eb262180_P001, Zm00001eb262190_P001, Zm00001eb262200_P001, Zm00001eb262210_P001, Zm00001eb262220_P001, Zm00001eb262230_P001, Zm00001eb262240_P001, Zm00001eb262250_P001, Zm00001eb262260_P001, Zm00001eb262270_P001, Zm00001eb262280_P001, Zm00001eb262290_P001, Zm00001eb262300_P001, Zm00001eb262310_P001, Zm00001eb262320_P001, Zm00001eb262330_P001, Zm00001eb262350_P001, Zm00001eb262360_P001, Zm00001eb262370_P001, Zm00001eb262390_P001, Zm00001eb262400_P001, Zm00001eb262410_P001, Zm00001eb262430_P001, Zm00001eb262440_P001, Zm00001eb262450_P001, Zm00001eb263240_P001, Zm00001eb263250_P001, Zm00001eb263270_P001, Zm00001eb263280_P001, Zm00001eb263290_P001, Zm00001eb263300_P001, Zm00001eb263310_P001, Zm00001eb263320_P001, Zm00001eb263340_P001, Zm00001eb263350_P001, Zm00001eb263360_P001, Zm00001eb263370_P001, Zm00001eb263380_P001, Zm00001eb263390_P001, Zm00001eb263410_P001, Zm00001eb263420_P001, Zm00001eb263430_P001, Zm00001eb263440_P001, Zm00001eb263450_P001, Zm00001eb263460_P001, Zm00001eb263470_P001, Zm00001eb263480_P001, Zm00001eb263490_P001, Zm00001eb263500_P001, Zm00001eb263510_P001, Zm00001eb263520_P001, Zm00001eb263530_P001, Zm00001eb263540_P001, Zm00001eb263550_P001, Zm00001eb263570_P001, Zm00001eb263580_P001, Zm00001eb263590_P001, Zm00001eb263610_P001, Zm00001eb263620_P001, Zm00001eb263630_P001, Zm00001eb263640_P001, Zm00001eb263650_P001, Zm00001eb263660_P001, Zm00001eb263670_P001, Zm00001eb263680_P001, Zm00001eb263690_P001, Zm00001eb263700_P001, Zm00001eb263710_P001, Zm00001eb263730_P001, Zm00001eb263740_P001, Zm00001eb263750_P001, Zm00001eb263760_P001, Zm00001eb263780_P001, Zm00001eb263800_P001, Zm00001eb263830_P001, Zm00001eb263860_P001, Zm00001eb263880_P001, Zm00001eb263890_P001, Zm00001eb263900_P001, Zm00001eb263910_P001, Zm00001eb263920_P001, Zm00001eb263930_P001, Zm00001eb263940_P001, Zm00001eb263960_P001, Zm00001eb263970_P001, Zm00001eb263980_P001, Zm00001eb264000_P001, Zm00001eb264020_P001, Zm00001eb264040_P001, Zm00001eb264050_P001, Zm00001eb411360_P001, Zm00001eb435840_P001, Zm00001eb435860_P001, Zm00001eb435880_P001, Zm00001eb435890_P001, Zm00001eb435900_P001, Zm00001eb435910_P001, Zm00001eb435920_P001, Zm00001eb435930_P001, Zm00001eb435940_P001, Zm00001eb435950_P001, Zm00001eb435960_P001, Zm00001eb435970_P001, Zm00001eb435980_P001, Zm00001eb436000_P001, Zm00001eb436520_P001, Zm00001eb436530_P001, Zm00001eb436540_P001, Zm00001eb436550_P001, Zm00001eb436560_P001, Zm00001eb436570_P001, Zm00001eb436580_P001, Zm00001eb436590_P001, Zm00001eb436600_P001, Zm00001eb436610_P001, Zm00001eb436620_P001, Zm00001eb436630_P001, Zm00001eb436640_P001, Zm00001eb436650_P001, Zm00001eb436660_P001, Zm00001eb436670_P001, Zm00001eb436680_P001, Zm00001eb436690_P001, Zm00001eb436700_P001, Zm00001eb436710_P001, Zm00001eb436720_P001, Zm00001eb436730_P001, Zm00001eb436900_P001, Zm00001eb436910_P001, Zm00001eb436920_P001, Zm00001eb436930_P001, Zm00001eb436940_P001, Zm00001eb436950_P001, Zm00001eb436960_P001, Zm00001eb436970_P001, Zm00001eb436980_P001, Zm00001eb436990_P001, Zm00001eb437360_P001, Zm00001eb437370_P001, Zm00001eb437380_P001, Zm00001eb437390_P001, Zm00001eb437400_P001, Zm00001eb437410_P001, Zm00001eb437420_P001, Zm00001eb437430_P001, Zm00001eb437440_P001, Zm00001eb437450_P001, Zm00001eb437460_P001, Zm00001eb437520_P001, Zm00001eb437530_P001, Zm00001eb437540_P001, Zm00001eb437550_P001, Zm00001eb437560_P001, Zm00001eb437570_P001, Zm00001eb437580_P001, Zm00001eb437590_P001, Zm00001eb437600_P001, Zm00001eb437610_P001, Zm00001eb437620_P001, Zm00001eb437640_P001, Zm00001eb437650_P001, Zm00001eb437660_P001, Zm00001eb437670_P001, Zm00001eb437680_P001, Zm00001eb437690_P001, Zm00001eb437700_P001, Zm00001eb437710_P001, Zm00001eb437830_P001, Zm00001eb437850_P001, Zm00001eb437860_P001, Zm00001eb437870_P001, Zm00001eb437880_P001, Zm00001eb437890_P001, Zm00001eb437900_P001, Zm00001eb437910_P001, Zm00001eb438210_P001, Zm00001eb438230_P001, Zm00001eb438240_P001, Zm00001eb438250_P001, Zm00001eb438460_P001, Zm00001eb438480_P001, Zm00001eb438490_P001, Zm00001eb438500_P001, Zm00001eb438510_P001, Zm00001eb438520_P001, Zm00001eb438530_P001, Zm00001eb438540_P001, Zm00001eb438550_P001, Zm00001eb438570_P001, Zm00001eb438580_P001, Zm00001eb438590_P001, Zm00001eb438680_P001, Zm00001eb438690_P001, Zm00001eb438700_P001, Zm00001eb438710_P001, Zm00001eb438720_P001, Zm00001eb438730_P001, Zm00001eb438740_P001, Zm00001eb439100_P001, Zm00001eb439110_P001, Zm00001eb439120_P001, Zm00001eb439130_P001, Zm00001eb439140_P001, Zm00001eb439150_P001, Zm00001eb439160_P001, Zm00001eb439170_P001, Zm00001eb439180_P001, Zm00001eb439190_P001, Zm00001eb439200_P001, Zm00001eb439210_P001, Zm00001eb439220_P001, Zm00001eb439230_P001, Zm00001eb439240_P001, Zm00001eb439250_P001, Zm00001eb439260_P001, Zm00001eb439330_P001, Zm00001eb439340_P001, Zm00001eb439350_P001, Zm00001eb439360_P001, Zm00001eb439370_P001, Zm00001eb439380_P001, Zm00001eb439390_P001, Zm00001eb439410_P001, Zm00001eb439420_P001, Zm00001eb439430_P001, Zm00001eb439440_P001, Zm00001eb439450_P001, Zm00001eb439460_P001, Zm00001eb439470_P001, Zm00001eb439480_P001, Zm00001eb439490_P001, Zm00001eb439500_P001, Zm00001eb439510_P001, Zm00001eb439520_P001, Zm00001eb439530_P001, Zm00001eb439540_P001, Zm00001eb439560_P001, Zm00001eb439570_P001, Zm00001eb439580_P001, Zm00001eb439590_P001, Zm00001eb439600_P001, Zm00001eb439610_P001, Zm00001eb439620_P001, Zm00001eb439690_P001, Zm00001eb439710_P001, Zm00001eb439720_P001, Zm00001eb439730_P001, Zm00001eb439740_P001, Zm00001eb439750_P001, Zm00001eb439770_P001, Zm00001eb439780_P001, Zm00001eb439790_P001, Zm00001eb439800_P001, Zm00001eb439840_P001, Zm00001eb439850_P001, Zm00001eb439860_P001, Zm00001eb439870_P001, Zm00001eb439880_P001, Zm00001eb439890_P001, Zm00001eb439900_P001, Zm00001eb439990_P001, Zm00001eb440000_P001, Zm00001eb440010_P001, Zm00001eb440020_P001, Zm00001eb440030_P001, Zm00001eb440040_P001, Zm00001eb440050_P001, Zm00001eb440060_P001, Zm00001eb440070_P001, Zm00001eb440080_P001, Zm00001eb440090_P001, Zm00001eb440100_P001, Zm00001eb440110_P001, Zm00001eb440120_P001, Zm00001eb440140_P001, Zm00001eb440150_P001, Zm00001eb440160_P001, Zm00001eb440170_P001, Zm00001eb440180_P001, Zm00001eb440240_P001, Zm00001eb440250_P001, Zm00001eb440260_P001, Zm00001eb440270_P001, Zm00001eb440280_P001, Zm00001eb440290_P001, Zm00001eb440500_P001, Zm00001eb440510_P001, Zm00001eb440520_P001, Zm00001eb440530_P001, Zm00001eb440540_P001, Zm00001eb440550_P001, Zm00001eb440560_P001, Zm00001eb440580_P001, Zm00001eb440590_P001, Zm00001eb440600_P001, Zm00001eb440610_P001, Zm00001eb440920_P001, Zm00001eb440930_P001, Zm00001eb440940_P001, Zm00001eb440950_P001, Zm00001eb441040_P001, Zm00001eb441050_P001, Zm00001eb441060_P001, Zm00001eb441070_P001, Zm00001eb441080_P001, Zm00001eb441090_P001, Zm00001eb441100_P001, Zm00001eb441110_P001, Zm00001eb441120_P001, Zm00001eb441130_P001, Zm00001eb441160_P001, Zm00001eb441190_P001, Zm00001eb441200_P001, Zm00001eb441210_P001, Zm00001eb441220_P001, Zm00001eb441250_P001, Zm00001eb441260_P001, Zm00001eb441270_P001, Zm00001eb441280_P001, Zm00001eb441290_P001, Zm00001eb441300_P001, Zm00001eb441330_P001, Zm00001eb441500_P001, Zm00001eb441510_P001, Zm00001eb441520_P001, Zm00001eb441530_P001, Zm00001eb441540_P001, Zm00001eb441550_P001, Zm00001eb441610_P001, Zm00001eb441620_P001, Zm00001eb441630_P001, Zm00001eb441640_P001, Zm00001eb441650_P001, Zm00001eb441660_P001, Zm00001eb441780_P001, Zm00001eb441800_P001, Zm00001eb441860_P001, Zm00001eb441870_P001, Zm00001eb441880_P001, Zm00001eb441890_P001, Zm00001eb441900_P001, Zm00001eb441910_P001, Zm00001eb441920_P001, Zm00001eb441930_P001, Zm00001eb441940_P001, Zm00001eb442320_P001, Zm00001eb442330_P001, Zm00001eb442570_P001, Zm00001eb442580_P001, Zm00001eb442590_P001, Zm00001eb442600_P001, Zm00001eb442630_P001, Zm00001eb442640_P001, Zm00001eb442650_P001, Zm00001eb442660_P001, Zm00001eb442750_P001, Zm00001eb442770_P001, Zm00001eb442910_P001, Zm00001eb442920_P001, Zm00001eb442930_P001, Zm00001eb443010_P001, Zm00001eb443020_P001
N2.HOG0000133	OG0000021	n5									Zm00001eb015410_P005, Zm00001eb056170_P001, Zm00001eb077000_P001, Zm00001eb113300_P001, Zm00001eb166860_P001, Zm00001eb270430_P001, Zm00001eb312550_P001, Zm00001eb390800_P002, Zm00001eb391340_P001
N2.HOG0000134	OG0000021	n14						SORBI_3009G197700, SORBI_3001G535850			Zm00001eb122650_P001, Zm00001eb215060_P001, Zm00001eb278920_P001, Zm00001eb338820_P001, Zm00001eb367800_P001, Zm00001eb375090_P001, Zm00001eb379800_P002, Zm00001eb383850_P001
N2.HOG0000135	OG0000021	n36									Zm00001eb004080_P001, Zm00001eb010720_P001, Zm00001eb018820_P002, Zm00001eb019020_P001, Zm00001eb022610_P001, Zm00001eb024970_P001, Zm00001eb046270_P001, Zm00001eb048300_P001, Zm00001eb053070_P001, Zm00001eb063180_P001, Zm00001eb079960_P001, Zm00001eb086590_P001, Zm00001eb086670_P001, Zm00001eb087940_P001, Zm00001eb090610_P001, Zm00001eb094080_P001, Zm00001eb117650_P001, Zm00001eb129150_P001, Zm00001eb133080_P001, Zm00001eb136070_P001, Zm00001eb167440_P001, Zm00001eb167890_P001, Zm00001eb171470_P001, Zm00001eb180320_P001, Zm00001eb186670_P001, Zm00001eb195990_P001, Zm00001eb197800_P002, Zm00001eb211670_P001, Zm00001eb224540_P001, Zm00001eb231440_P001, Zm00001eb236790_P001, Zm00001eb237400_P001, Zm00001eb242210_P001, Zm00001eb256850_P001, Zm00001eb270180_P001, Zm00001eb270200_P001, Zm00001eb273910_P001, Zm00001eb273930_P001, Zm00001eb279200_P001, Zm00001eb279690_P001, Zm00001eb283050_P001, Zm00001eb300210_P002, Zm00001eb309640_P002, Zm00001eb313380_P001, Zm00001eb331910_P001, Zm00001eb332310_P001, Zm00001eb345220_P001, Zm00001eb345330_P001, Zm00001eb367280_P001, Zm00001eb379810_P001, Zm00001eb380560_P001, Zm00001eb384140_P001, Zm00001eb389250_P001, Zm00001eb389300_P001, Zm00001eb390930_P001, Zm00001eb391510_P001, Zm00001eb392180_P001, Zm00001eb401020_P001, Zm00001eb410270_P001, Zm00001eb411270_P001, Zm00001eb412060_P001
N2.HOG0000136	OG0000021	n258									Zm00001eb045190_P001, Zm00001eb121750_P001, Zm00001eb382860_P001, Zm00001eb385640_P001
N2.HOG0000137	OG0000021	n262						SORBI_3008G140500			Zm00001eb136260_P002
N2.HOG0000138	OG0000021	n263						SORBI_3002G147900			Zm00001eb008330_P001, Zm00001eb020010_P002, Zm00001eb027530_P002, Zm00001eb035520_P001, Zm00001eb044530_P001, Zm00001eb088240_P001, Zm00001eb090010_P001, Zm00001eb090020_P001, Zm00001eb095570_P001, Zm00001eb102410_P001, Zm00001eb112790_P001, Zm00001eb112800_P001, Zm00001eb122800_P001, Zm00001eb136780_P002, Zm00001eb177710_P001, Zm00001eb178060_P001, Zm00001eb180110_P001, Zm00001eb180120_P001, Zm00001eb236750_P001, Zm00001eb250130_P001, Zm00001eb274350_P001, Zm00001eb306390_P001, Zm00001eb338830_P001, Zm00001eb341780_P001, Zm00001eb373830_P001, Zm00001eb375080_P001, Zm00001eb386100_P001, Zm00001eb386460_P001, Zm00001eb427840_P001
N2.HOG0000139	OG0000021	n324									Zm00001eb130120_P001
N2.HOG0000140	OG0000021	n328									Zm00001eb001660_P001, Zm00001eb093810_P001, Zm00001eb196690_P001, Zm00001eb290450_P001, Zm00001eb341240_P001
N2.HOG0000141	OG0000022	n1						SORBI_3007G017200, SORBI_3007G017800			Zm00001eb143720_P003, Zm00001eb143790_P005
N2.HOG0000142	OG0000022	n31						SORBI_3007G013100			
N2.HOG0000143	OG0000022	n35						SORBI_3007G010000, SORBI_3007G010700			
